,0,1
107,JohnVernon,dirty-harry
108,LynEdgington,dirty-harry
109,MaeMercer,dirty-harry
110,ReniSantoni,dirty-harry
111,RuthKobart,dirty-harry
112,CharlizeTheron,mad-max-fury-road
113,JohnHoward,mad-max-fury-road
114,NathanJones,mad-max-fury-road
115,NicholasHoult,mad-max-fury-road
116,RileyKeough,mad-max-fury-road
117,TomHardy,mad-max-fury-road
118,ZoëKravitz,mad-max-fury-road
119,CarrieFisher,star-wars-episode-iv---a-new-hope
120,HarrisonFord,star-wars-episode-iv---a-new-hope
121,MarkHamill,star-wars-episode-iv---a-new-hope
122,AndyLau,house-of-flying-daggers
123,TakeshiKaneshiro,house-of-flying-daggers
124,ZiyiZhang,house-of-flying-daggers
125,EthanHawke,assault-on-precinct-13
126,LaurenceFishburne,assault-on-precinct-13
127,AdityaKumar,gangs-of-wasseypur
128,HumaQureshi,gangs-of-wasseypur
129,JaideepAhlawat,gangs-of-wasseypur
130,JameelKhan,gangs-of-wasseypur
131,ManojBajpai,gangs-of-wasseypur
132,Nowaz,gangs-of-wasseypur
133,PiyushMishra,gangs-of-wasseypur
134,RajKumarYadav,gangs-of-wasseypur
135,RichaChadda,gangs-of-wasseypur
136,SankalpAcharekar,gangs-of-wasseypur
137,SatyakamAnand,gangs-of-wasseypur
138,TigmanshuDhulia,gangs-of-wasseypur
139,VineetSingh,gangs-of-wasseypur
140,VipinSharma,gangs-of-wasseypur
141,ZeishanQuadri,gangs-of-wasseypur
142,EveMcVeagh,high-noon
143,GaryCooper,high-noon
144,GraceKelly,high-noon
145,HarryMorgan,high-noon
146,IanMacdonald,high-noon
147,KatyJurado,high-noon
148,LloydBridges,high-noon
149,LonChaneyJr.,high-noon
150,OttoKruger,high-noon
151,ThomasMitchell,high-noon
152,AndySerkis,black-panther
153,AngelaBassett,black-panther
154,ChadwickBoseman,black-panther
155,DanaiGurira,black-panther
156,DanielKaluuya,black-panther
157,ForestWhitaker,black-panther
158,LetitiaWright,black-panther
159,LupitaNyong'o,black-panther
160,MartinFreeman,black-panther
161,MichaelB.Jordan,black-panther
162,StanLee,black-panther
163,SterlingK.Brown,black-panther
164,WinstonDuke,black-panther
165,AndySerkis,the-lord-of-the-rings-the-two-towers
166,HarrisonFord,the-fugitive
167,TommyLeeJones,the-fugitive
168,GertFröbe,goldfinger
169,HonorBlackman,goldfinger
170,SeanConnery,goldfinger
171,AdamWilliams,north-by-northwest
172,CaryGrant,north-by-northwest
173,EdwardPlatt,north-by-northwest
174,EvaMarieSaint,north-by-northwest
175,JamesMason,north-by-northwest
176,JessieRoyceLandis,north-by-northwest
177,JosephineHutchinson,north-by-northwest
178,LeoG.Carroll,north-by-northwest
179,MartinLandau,north-by-northwest
180,PhilipOber,north-by-northwest
181,ToshirôMifune,seven-samurai-re-release
182,AlfredAbel,metropolis-re-release
183,BrigitteHelm,metropolis-re-release
184,BenJohnson,the-wild-bunch
185,EdmondO'Brien,the-wild-bunch
186,EmilioFernández,the-wild-bunch
187,ErnestBorgnine,the-wild-bunch
188,JaimeSánchez,the-wild-bunch
189,L.Q.Jones,the-wild-bunch
190,RobertRyan,the-wild-bunch
191,StrotherMartin,the-wild-bunch
192,WarrenOates,the-wild-bunch
193,WilliamHolden,the-wild-bunch
194,ErrolFlynn,the-adventures-of-robin-hood-re-release
195,OliviadeHavilland,the-adventures-of-robin-hood-re-release
196,Ah-Tsai,dragon-inn-1967
197,ChiehLi,dragon-inn-1967
198,ChienTsao,dragon-inn-1967
199,ChuLiu,dragon-inn-1967
200,ChunShih,dragon-inn-1967
201,FeiKao,dragon-inn-1967
202,FengHsu,dragon-inn-1967
203,HanHsieh,dragon-inn-1967
204,HsiaoPaoKo,dragon-inn-1967
205,LingfengShangguan,dragon-inn-1967
206,MingKao,dragon-inn-1967
207,ShihLu,dragon-inn-1967
208,SimonHsu,dragon-inn-1967
209,YingBai,dragon-inn-1967
210,Ying-ChiehHan,dragon-inn-1967
211,AkiraTerao,ran
212,DaisukeRyû,ran
213,JinpachiNezu,ran
214,TatsuyaNakadai,ran
215,AnthonyMackie,the-hurt-locker
216,BrianGeraghty,the-hurt-locker
217,JeremyRenner,the-hurt-locker
218,ChrisPratt,zero-dark-thirty
219,ÉdgarRamírez,zero-dark-thirty
220,JasonClarke,zero-dark-thirty
221,JenniferEhle,zero-dark-thirty
222,JessicaChastain,zero-dark-thirty
223,JoelEdgerton,zero-dark-thirty
224,MarkStrong,zero-dark-thirty
225,AneurinBarnard,dunkirk
226,BarryKeoghan,dunkirk
227,DamienBonnard,dunkirk
228,FionnWhitehead,dunkirk
229,HarryStyles,dunkirk
230,JackLowden,dunkirk
231,JamesBloor,dunkirk
232,LeeArmstrong,dunkirk
233,MarkRylance,dunkirk
234,TomGlynn-Carney,dunkirk
235,TomHardy,dunkirk
236,MarlonBrando,apocalypse-now
237,MartinSheen,apocalypse-now
238,AndySerkis,the-lord-of-the-rings-the-return-of-the-king
239,OrlandoBloom,the-lord-of-the-rings-the-return-of-the-king
240,AnnRebbot,the-french-connection
241,ArleneFarber,the-french-connection
242,BillHickman,the-french-connection
243,FernandoRey,the-french-connection
244,FrédéricdePasquale,the-french-connection
245,GeneHackman,the-french-connection
246,HaroldGary,the-french-connection
247,MarcelBozzuffi,the-french-connection
248,RoyScheider,the-french-connection
249,TonyLoBianco,the-french-connection
250,MichelleYeoh,crouching-tiger-hidden-dragon
251,Yun-FatChow,crouching-tiger-hidden-dragon
252,ZiyiZhang,crouching-tiger-hidden-dragon
253,AngieDickinson,rio-bravo
254,ClaudeAkins,rio-bravo
255,DeanMartin,rio-bravo
256,EstelitaRodriguez,rio-bravo
257,JohnRussell,rio-bravo
258,JohnWayne,rio-bravo
259,PedroGonzalezGonzalez,rio-bravo
260,RickyNelson,rio-bravo
261,WalterBrennan,rio-bravo
262,WardBond,rio-bravo
263,MarlonBrando,apocalypse-now-redux
264,MartinSheen,apocalypse-now-redux
265,AndySerkis,the-lord-of-the-rings-the-fellowship-of-the-ring
266,ElijahWood,the-lord-of-the-rings-the-fellowship-of-the-ring
267,MattDamon,saving-private-ryan
268,TomHanks,saving-private-ryan
269,CraigT.Nelson,the-incredibles
270,HollyHunter,the-incredibles
271,JasonLee,the-incredibles
272,SamuelL.Jackson,the-incredibles
273,AndrewRobinson,dirty-harry
274,ClintEastwood,dirty-harry
275,HarryGuardino,dirty-harry
276,JohnLarch,dirty-harry
277,JohnMitchum,dirty-harry
278,JohnVernon,dirty-harry
279,LynEdgington,dirty-harry
280,MaeMercer,dirty-harry
281,ReniSantoni,dirty-harry
282,RuthKobart,dirty-harry
283,CharlizeTheron,mad-max-fury-road
284,JohnHoward,mad-max-fury-road
285,NathanJones,mad-max-fury-road
286,NicholasHoult,mad-max-fury-road
287,RileyKeough,mad-max-fury-road
288,TomHardy,mad-max-fury-road
289,ZoëKravitz,mad-max-fury-road
290,CarrieFisher,star-wars-episode-iv---a-new-hope
291,HarrisonFord,star-wars-episode-iv---a-new-hope
292,MarkHamill,star-wars-episode-iv---a-new-hope
293,AndyLau,house-of-flying-daggers
294,TakeshiKaneshiro,house-of-flying-daggers
295,ZiyiZhang,house-of-flying-daggers
296,EthanHawke,assault-on-precinct-13
297,LaurenceFishburne,assault-on-precinct-13
298,AdityaKumar,gangs-of-wasseypur
299,HumaQureshi,gangs-of-wasseypur
300,JaideepAhlawat,gangs-of-wasseypur
301,JameelKhan,gangs-of-wasseypur
302,ManojBajpai,gangs-of-wasseypur
303,Nowaz,gangs-of-wasseypur
304,PiyushMishra,gangs-of-wasseypur
305,RajKumarYadav,gangs-of-wasseypur
306,RichaChadda,gangs-of-wasseypur
307,SankalpAcharekar,gangs-of-wasseypur
308,SatyakamAnand,gangs-of-wasseypur
309,TigmanshuDhulia,gangs-of-wasseypur
310,VineetSingh,gangs-of-wasseypur
311,VipinSharma,gangs-of-wasseypur
312,ZeishanQuadri,gangs-of-wasseypur
313,EveMcVeagh,high-noon
314,GaryCooper,high-noon
315,GraceKelly,high-noon
316,HarryMorgan,high-noon
317,IanMacdonald,high-noon
318,KatyJurado,high-noon
319,LloydBridges,high-noon
320,LonChaneyJr.,high-noon
321,OttoKruger,high-noon
322,ThomasMitchell,high-noon
323,AndySerkis,black-panther
324,AngelaBassett,black-panther
325,ChadwickBoseman,black-panther
326,DanaiGurira,black-panther
327,DanielKaluuya,black-panther
328,ForestWhitaker,black-panther
329,LetitiaWright,black-panther
330,LupitaNyong'o,black-panther
331,MartinFreeman,black-panther
332,MichaelB.Jordan,black-panther
333,StanLee,black-panther
334,SterlingK.Brown,black-panther
335,WinstonDuke,black-panther
336,AndySerkis,the-lord-of-the-rings-the-two-towers
337,HarrisonFord,the-fugitive
338,TommyLeeJones,the-fugitive
339,GertFröbe,goldfinger
340,HonorBlackman,goldfinger
341,SeanConnery,goldfinger
